State,INTEGER,CHAR,BOOLEAN,STRING,TYPE,EQUALS,ARRAY,LEFT_SQUARE,RIGHT_SQUARE,OF,STRUCT,LEFT_BRACES,RIGHT_BRACES,SEMI_COLON,COLON,FUNCTION,LEFT_PARENTHESIS,RIGHT_PARENTHESIS,COMMA,VAR,IF,ELSE,WHILE,DO,BREAK,CONTINUE,RETURN,AND,OR,LESS_THAN,GREATER_THAN,LESS_OR_EQUAL,GREATER_OR_EQUAL,EQUAL_EQUAL,NOT_EQUAL,PLUS,MINUS,TIMES,DIVIDE,PLUS_PLUS,MINUS_MINUS,NOT,DOT,TRUE,FALSE,CHARACTER,STRINGVAL,NUMERAL,ID,$,P,LDE,DE,T,DT,DC,DF,LP,B,LDV,LS,DV,LI,S,E,L,R,Y,F,LE,LV,TRU,FALS,CH,ST,NU,IDT,IDU,IDD,NB,NF,MA,ME,MC,MF,MT,MW
0, , , , ,s6, , , , , , , , , , ,s5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,4, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, , , , ,s6, , , , , , , , , , ,s5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , ,7, ,4, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2, , , , ,r2, , , , , , , , , , ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, , , , ,r3, , , , , , , , , , ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , ,r4, , , , , , , , , , ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , 
6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , 
7, , , , ,r1, , , , , , , , , , ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , , ,r82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , 
9, , , , ,r80,r80, , , , , , , , ,r80,r80,r80, ,r80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , ,s12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , ,s13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,s17,s18,s19,s20, , ,s14, , , ,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s22, , , , ,16, , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , , 
13, , , , , , , , , , , , , , , , , ,r18,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , ,23, , , , , , , , , , , , , , , , , , , , ,24, , , , , , , , 
14, , , , , , , ,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, , , , , , , , , , , ,r81, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26, , , , , , , 
16, , , , ,r12, , , , , , , , , , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17, , , , ,r5, , , , , , ,r5,r5,r5, ,r5, ,r5,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18, , , , ,r6, , , , , , ,r6,r6,r6, ,r6, ,r6,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , , , ,r7, , , , , , ,r7,r7,r7, ,r7, ,r7,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20, , , , ,r8, , , , , , ,r8,r8,r8, ,r8, ,r8,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21, , , , ,r9, , , , , , ,r9,r9,r9, ,r9, ,r9,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22, , , , ,r79,r79, ,r79,r79, , ,r79,r79,r79, ,r79,r79,r79,r79, ,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79, ,r79, , , , , ,r79,r79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23, , , , , , , , , , , , , , , , , ,s27,s28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24, , , , , , , , , , , , , , ,s29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s31, , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, , , , , , , , , , , 
26, , , , , , , , , , , ,s32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27, , , , , , , , , , , , , , ,s33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34, , , , , , , , 
29,s17,s18,s19,s20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s22, , , , ,35, , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , , 
30, , , , , , , , ,s36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31, , , , , , , , ,r77, , , , ,r77, , , ,r77,r77, , , , , , , , ,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , ,37, , , , , , ,38, , , , , , , , , , , , , , , ,39, , , , , , , , 
33,s17,s18,s19,s20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s22, , , , ,40, , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , , 
34, , , , , , , , , , , , , , ,s41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35, , , , , , , , , , , , , , , , , ,r17,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36, , , , , , , , , ,s42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37, , , , , , , , , , , , ,s43,s44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38, , , , , , , , , , , , , , ,s45, , , ,s46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39, , , , , , , , , , , , , , ,r27, , , ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40, , , , , , , , , , , ,r86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47, , 
41,s17,s18,s19,s20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s22, , , , ,48, , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , , 
42,s17,s18,s19,s20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s22, , , , ,49, , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , , 
43, , , , ,r11, , , , , , , , , , ,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , ,39, , , , , , , , 
45,s17,s18,s19,s20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s22, , , , ,51, , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , , 
46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,52, , , , , , , , 
47, , , , , , , , , , , ,s54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48, , , , , , , , , , , , , , , , , ,r16,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
49, , , , ,r10, , , , , , , , , , ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50, , , , , , , , , , , , , , ,s55, , , ,s46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51, , , , , , , , , , , , ,r14,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52, , , , , , , , , , , , , , ,r26, , , ,r26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53, , , , ,r15, , , , , , , , , , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54, , , , ,r22, , , , , , ,r22,r22, , ,r22, , , ,s58 / r22,r22,r22,r22,r22,r22,r22,r22, , , , , , , , , , , , , , , , , , , , , ,r22,r22, , , , , , , , , ,56, ,57, , , , , , , , , , , , , , , , , , , , , , , , , 
55,s17,s18,s19,s20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s22, , , , ,59, , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , , 
56, , , , , , , , , , , ,r81, , , , , , , ,s58,s63, ,s64,s65,s68,s69,s70, , , , , , , , , , , , , , , , , , , , , ,s22, , , , , , , , , , , ,60,61, ,62, , , , , , ,67, , , , , , ,71, ,66, , , , , , , 
57, , , , ,r21, , , , , , ,r21,r21, , ,r21, , , ,r21,r21,r21,r21,r21,r21,r21,r21, , , , , , , , , , , , , , , , , , , , , ,r21,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , ,72, , , , , , , , , , , , , , , ,39, , , , , , , , 
59, , , , , , , , , , , , ,r13,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60, , , , , , , , , , , ,r81,s73, , , , , , , ,s63, ,s64,s65,s68,s69,s70, , , , , , , , , , , , , , , , , , , , , ,s22, , , , , , , , , , , , , , ,74, , , , , , ,67, , , , , , ,71, ,66, , , , , , , 
61, , , , ,r20, , , , , , ,r20,r20, , ,r20, , , ,r20,r20,r20,r20,r20,r20,r20,r20, , , , , , , , , , , , , , , , , , , , , ,r20,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
62, , , , , , , , , , , ,r24,r24, , , , , , , ,r24, ,r24,r24,r24,r24,r24, , , , , , , , , , , , , , , , , , , , , ,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
63, , , , , , , , , , , , , , , , ,s75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
64, , , , , , , , , , , , , , , , ,r88, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,76
65, , , , , , , , , , , ,r88,r88, , , , , , , ,r88,r88,r88,r88,r88,r88,r88, , , , , , , , , , , , , , , , , , , , , ,r88, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,77
66, , , , , , , , , , , ,s54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,78, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
67, , , , , ,r83, ,s81, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,79, , , , , 
68, , , , , , , , , , , , , ,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
69, , , , , , , , , , , , , ,s83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70, , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , ,84,85,86,87,88, ,89,96,97,98,99,100, ,93, , , , , , , , , 
71, , , , , ,r72, ,r72,r72, , ,r72,r72,r72, , , ,r72,r72, ,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72, , , ,r72, , , , , ,r72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72, , , , , , , , , , , , , , ,s105, , , ,s46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73, , , , ,r19, , , , , , ,r19,r19, , ,r19, , , , ,r19,r19,r19,r19,r19,r19,r19, , , , , , , , , , , , , , , , , , , , , ,r19,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74, , , , , , , , , , , ,r23,r23, , , , , , , ,r23, ,r23,r23,r23,r23,r23, , , , , , , , , , , , , , , , , , , , , ,r23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75, , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , ,106,85,86,87,88, ,89,96,97,98,99,100, ,93, , , , , , , , , 
76, , , , , , , , , , , , , , , , ,s107, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
77, , , , , , , , , , , ,r81, , , , , , , , ,s63, ,s64,s65,s68,s69,s70, , , , , , , , , , , , , , , , , , , , , ,s22, , , , , , , , , , , , , , ,108, , , , , , ,67, , , , , , ,71, ,66, , , , , , , 
78, , , , , , , , , , , ,r32,r32, , , , , , , ,r32,r32,r32,r32,r32,r32,r32, , , , , , , , , , , , , , , , , , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
79, , , , , ,s109, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s111, , , , , , , , , , , , , , , , , , , , , , , , , , , ,110, , , , , , , , , , 
81, , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , ,112,85,86,87,88, ,89,96,97,98,99,100, ,93, , , , , , , , , 
82, , , , , , , , , , , ,r34,r34, , , , , , , ,r34,r34,r34,r34,r34,r34,r34, , , , , , , , , , , , , , , , , , , , , ,r34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
83, , , , , , , , , , , ,r35,r35, , , , , , , ,r35,r35,r35,r35,r35,r35,r35, , , , , , , , , , , , , , , , , , , , , ,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84, , , , , , , , , , , , , ,s113, , , , , , , , , , , , , ,s114,s115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
85, , , , , , , , ,r39, , , , ,r39, , , ,r39,r39, , , , , , , , ,r39,r39,s116,s117,s118,s119,s120,s121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86, , , , , , , , ,r46, , , , ,r46, , , ,r46,r46, , , , , , , , ,r46,r46,r46,r46,r46,r46,r46,r46,s122,s123, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
87, , , , , , , , ,r49, , , , ,r49, , , ,r49,r49, , , , , , , , ,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,s124,s125, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
88, , , , , , , , ,r52, , , , ,r52, , , ,r52,r52, , , , , , , , ,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
